,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,company_name,job_state,age,excel,sql,python,tableau,word,crm,job_simp,seniority,desc_len
0,Business Analyst,$33K-$66K (Glassdoor est.),"We are looking for a Business Analyst to join our Team as we continue to blaze the trail in the exciting future of eCommerce. ONYX is among the fastest growing tech companies in New Jersey, focused on creating custom infrastructure and unique user experience for niche marketplaces.

As a Business Analyst, you will play a critical role in process improvement & project management. You will support the process excellence team for project deliverable's, assist in reporting efforts & partner with the business to identify and own process improvement efforts. Successful performance in the role is measured by the quality, impact, and delivery speed of this work.

What you will be doing -
Analyze complex data, identify trends, and provide actionable recommendations to support operations that will result in year over year revenue and conversion rate growth
Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions.
Leading ongoing reviews of business processes and developing optimization strategies.
Staying up-to-date on the latest process and IT advancements to automate and modernize systems.
Conducting meetings and presentations to share ideas and findings.
Performing requirements analysis.
Documenting and communicating the results of your efforts.
Allocating resources and maintaining cost efficiency.
Ensuring solutions meet business needs and requirements.
Performing user acceptance testing.
Managing projects, developing project plans, and monitoring performance.
Updating, implementing and maintaining procedures.
Prioritizing initiatives based on business needs and requirements.
Serving as a liaison between stakeholders and the various business units.
Monitoring deliverables and ensuring timely completion of projects.
What we are looking for
Bachelors Degree in Business
Strong analytical skills
Strong experience with Office 365 - Specifically Power Automate & Microsoft Teams
Excellent project management and organizational skills
Strong sense of individual accountability and follow-through
Extremely organized with strong time-management skills
Why ONYX?

Our culture is fast paced and ambitious- we like to move ten times as fast others believe to be possible. Our team is talented, passionate, and driven with outstanding skillsets. We work within a collaborative, casual, modern environment with awesome perks!

Diversity and Inclusion:

Our people are our greatest asset. We are committed to an inclusive environment that attracts, engages and retains the best possible talent. Our diversity of experiences, backgrounds, locations, viewpoints and ideas is what makes us a great place to work!

Powered by JazzHR",3.1,"Onyx Enterprises Int'l
3.1","Cranbury, NJ",-1,201 to 500 Employees,2008,Company - Private,Automotive Parts & Accessories Stores,Retail,$100 to $500 million (USD),-1,33,66,49.5,Onyx Enterprises Int'l,NJ,12,1,0,0,0,0,0,business analyst,na,2717
1,Business Intelligence Analyst & Developer,$33K-$66K (Glassdoor est.),"Overview


Everyone wants to work with people they respect. Even better if you can work with a company you respect. We have both at The David J. Joseph Company, and a 135+ year track record on operating an ethical business with a positive work culture. It may sound cliché, but it’s true. We’re a big, global company that still feels small.

Working at the David J. Joseph Company is unique. We offer employment in diverse settings such as traditional corporate headquarters, dynamic sales locations, and scrap recycling facilities. This workplace diversity gives our employees the variety they crave and the exposure to a global business. A career at The David J. Joseph Company is ideal for self-starters seeking to make an impact on our company and their careers.

The David J. Joseph Company (DJJ), founded in 1885, is a world leader in scrap metal recycling & trading. With over 80+ locations, the Joseph Company is headquartered in Cincinnati, Ohio and is a wholly-owned subsidiary of Nucor Corporation (NUE) a Fortune 200 Company.

Responsibilities
Performs solution design, development, testing, debugging and maintenance for one or more of the following enterprise data team areas of responsibility:
Enterprise data modeling
ETL systems
BI semantic layers
Dashboards and reports
Ad-hoc data analysis
Participates in requirements gathering, design sessions, fact-finding and prototyping activities to drive business adoption of data products.
Documents detailed solution specifications, data mappings, test cases and maintenance routines.
Works collaboratively with other team members to evolve best practices and team standards for data visualization, data modeling, or data integration.
Develops and maintains knowledge of customer’s business by learning through a mix of project work, partnering with business users, and seeking out learning opportunities.
Participates, along with other team members, in a support rotation, handling system triage and resolving user-facing tickets.
Delivers solutions that are optimized for performance and proactively tunes and refactors existing solutions.
Develops and refines new and existing data products to ensure data quality and single source of truth.
Performs other duties as assigned.
Qualifications
Bachelor’s degree in Information Technology, Computer Science or Business-related discipline is preferred. Equivalent combination of experience and education will be considered.
Minimum 2 – 5 years related experience including working knowledge of relational databases, data warehouse environments, and SQL.
Minimum 2 – 5 years related experience with business intelligence, data integration or data analytics tools and languages (for example: MicroStrategy, PowerBI, Tableau, MDX, multidimensional or tabular cubes; ETL development; R, Python).
Preferred experience utilizing source control systems to perform development tasks (git or TFS).
Preferred experience developing cloud-based data solutions (Azure, SnowFlake, RedShift, etc.)
Demonstrates working knowledge, practical skills and the ability to perform work under moderate supervision.
Must be detail-oriented with the ability to manage multiple assignments effectively.
Requires effective communication skills to convey status, ideas and concepts in a team environment.
Requires professional demeanor with a high degree of flexibility, responsiveness and self-direction.
Benefits


We offer a competitive compensation and benefit package including paid training, bonus program, medical, dental, vision, life and disability coverage, vacation, paid holidays, a 401(k) plan with match, tuition reimbursement and other great benefits.

EEO Statement


The David J Joseph Company (DJJ) is a drug-free workplace and conducts pre-employment testing as a condition of employment.DJJ is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, color, ethnicity, religion, creed, sex, pregnancy, lactation/breastfeeding, sexual orientation, gender identity or expression, national origin, citizenship, ancestry, age, marital status, familial status, disability, genetic information, protected veteran status, military status, or any other characteristic protected by local, state, or federal laws, rules, or regulations. DJJ hires and promotes individuals solely on the basis of their qualifications for the job to be filled. If you’d like more information on your EEO rights under the law, please click here.

DJJ reasonably accommodates qualified individuals with disabilities to enable them to receive equal employment opportunity and/or perform the essential functions of the job, unless the accommodation would impose an undue hardship to the Company. This applies to all applicants and teammates.DJJ also provides a work environment in which each teammate is able to be productive and work to the best of his or her ability. We do not condone or tolerate an atmosphere of intimidation or harassment. We expect and require the cooperation of all teammates in maintaining an atmosphere free from discrimination and harassment with mutual respect by and for all teammates and applicants.

E-Verify Information | E-Verify Notice

EJN


EJN",4.4,"The David J. Joseph Company
4.4","Cincinnati, OH",-1,201 to 500 Employees,1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,-1,33,66,49.5,The David J. Joseph Company,OH,135,0,1,1,1,0,0,analyst,na,5211
2,CCS Business Performance Analyst,$33K-$66K (Glassdoor est.),"Harland Clarke is a leading provider of customer engagement solutions that help connect businesses and people how, when, and where it matters. The company offers payment tools such as checks and cards; lifecycle marketing solutions; and promotional products for businesses. The company deploys these customer engagement solutions holistically, across print, phone, and digital channels, ensuring that the customers of its world-class client base enjoy a consistently superior experience. Harland Clarke serves more than 43 million consumers and 6 million small and medium sized businesses per year, through deep relationships with 11,000+ clients and distribution partners. Harland Clarke is a wholly owned subsidiary of Harland Clarke Holdings. Harland Clarke has been recognized as a 2018 top workplace in San Antonio, TX. For more information, visit www.harlandclarke.com or follow Harland Clarke on LinkedIn and on Twitter @HarlandClarke.

Rewards

· Take charge of your future with our generous 401K savings plan with company match, which is vested from day one.

· Participate in our company wide well-being program that also serves to lower your annual health insurance premiums.

· Explore new education opportunities with our tuition reimbursement plans.

· We offer work-life flexibility, meeting personal obligations along with professional success.

JOB SUMMARY

Responsible for providing analysis and execution oversight of the performance of the Contact Center for the Payments business segment. Key leader and influencer that will be primarily accountable for defining key initiatives as product owner, overseeing performance and forecasting, and managing impacts to the segment. This role acts as a high level orchestrator and author of inter-related projects combined with business as usual impacts to ensure the segment is performing superbly. This role is accountable for measuring impact of changes, quickly identifying issues, gaps, or risks, and proposing solutions and reporting on progress. This leader needs to be a strong, independent influencer and motivator that is able to partner across the organization and Enterprise.

KEY DUTIES/RESPONSIBILITIES

Performance Analysis: Serves as primary analyst on Contact Center performance in the Payments segment, actively monitoring, forecasting and recommending immediate action if performance is out of bounds. Responsible for defining processes, data, and success criteria to actively keep operational performance in line with daily goals. Quickly identify issues, root cause and identify and communicate recommendations to drive resolution. Measures impact and business value of initiatives. 40%
Leadership: Provides leadership, guidance and execution oversight for the ChecksCX transition and other payments initiatives ensuring they complete on time and budget, and meet measurable business goals. Identify, document and manage initiatives partnering with Contact Center and Enterprise teams. Provide thought leadership and insight on the health of the initiatives. Interpret, evaluate and interrelate data to recommend options to meet requirements and business goals. 25%
Subject Matter Expertise: Serves as recognized thought leader in the organization with the ability to leverage or define oversight methodologies but also demonstrate flexibility in approach. Work daily with stakeholders to elicit and document requirements, epics, story maps, features and detailed user stories for initiatives. Product oversight for systems which affect segment performance. 25%
Communication: Provides formal and informal performance and oversight updates and guidance to Contact Center Executives, Chief Operating Officer and functional areas. Partner with Contact Center and Enterprise team to align with pilots, business or technology changes; define measurement plan; analyze results and report out on changes. Work with functional areas to define and track dependencies for initiatives. Actively monitors customer and client reports post implementation in order to provide feedback to the contact centers leadership on process and company change initiatives. 10%

EDUCATION

Bachelor's Degree (Required)

EXPERIENCE

3-5 years relevant work experience with minimum of 2-3 years of business analysis and performance management experience required.
Product ownership experience highly desired.
Experience with Continuous Improvement, Kaizen LEAN, Process Management or Six Sigma required.
Contact Center or Channel Performance Management desired.

KNOWLEDGE/SKILLS/ABILITIES

A proven ability to learn new products, develop functional knowledge, and apply new skills in a high paced environment.
Ownership mindset with the ability to influence teams to accomplish goals.
Excellent collaboration, organizational, time management, presentation and writing skills; ability to delivery clear, direct and effective communication (written and oral) for public consumption.
Demonstrated skill running effective meetings and getting buy-in and participation from all levels.
Ability to effectively and efficiently manage multiple projects.
Seeks feedback and continually evaluates processes and procedures to foster culture of continuous improvement.

COMMUNICATION AND CONTACTS
This individual has contact with Harland Clarke employees at various levels of the organization.

DECISION MAKING
Makes decisions regarding product initiatives regarding schedule and cost performance, issue impact, problem resolutions, prioritization and action. Performs product performance analysis and determines performance recommendations.

PHYSICAL DEMANDS / WORKING CONDITIONS

Extended Use of Computer Monitor
General Office Environment
Balancing
Bending / Stooping
Carrying
Ability to Adjust Focus
Sitting Continuously
Using both hands
Feeling
Grasping
Handling
Hand-to-Eye Coordination / Motor Skills
Hearing
Kneeling
Reaching
Sitting
Standing
Talking
Twisting / Turning
Typing
Walking
Writing
Close vision
Close vision for long periods of time
Color perception
Depth perception

#HCCSS

Harland Clarke is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.

Applicants who have disabilities may request that accommodations be made in order to complete the selection process by contacting our Recruiting Coordinator, Laurel Kay Reddish at 813 749-5003 .

EEO is the law. To review your rights under Equal Employment Opportunity please visit: www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf .

#HCCSS",3.5,"Harland Clarke Corp.
3.5","San Antonio, TX",-1,1001 to 5000 Employees,1874,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$500 million to $1 billion (USD),-1,33,66,49.5,Harland Clarke Corp.,TX,146,1,0,0,0,0,0,analyst,na,6697
3,Loan Review Analyst,$33K-$66K (Glassdoor est.),"Duties/Responsibilities:
• Review commercial and retail loan files to determine credit quality, adequacy of loan documentation, adherence to loan policy, and lending regulations.
• Assist in the development, maintenance, and review of loan computer records for proper classification and coding of loans for management reporting purposes.
• Evaluate the underwriting standards and activities of lending personnel including compliance with lending policies and the quality of loan approval, monitoring, and risk assessment.
• Prepare written reports of loan review findings and recommendations, including time frames for correction.
• Complete other projects and reports as assigned by the Director of Loan Review, Board of Directors, and Senior Management.

Education and Training
• Requires Bachelor's degree in Accounting, Business, Finance, or comparable field.
• Requires 1 or more years of lending or credit experience.
• Requires knowledge of Microsoft Office.

Qualifications

Knowledge of:
• Strong analytical skills
• Strong organizational skills
• Strong oral and written communication skills
• Basic accounting skills
• Loan collateral documentation

Ability to:
• Multi-task and work independently
• Analyze and interpret financial information
• Solve problems independently while applying logic and discretion
• Perform duties and make decisions under frequent time pressures

EOE of Minorities/Females/Vets/Disability",3.2,"Busey Bank
3.2","Champaign, IL",-1,1001 to 5000 Employees,1979,Company - Public,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1,33,66,49.5,Busey Bank,IL,41,0,0,0,0,0,0,analyst,na,1430
4,Applications Systems Analyst,$33K-$66K (Glassdoor est.),"Secure our Nation, Ignite your Future

Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you’ll help protect our national security while working on innovative projects that offer opportunities for advancement.

Currently, ManTech is seeking a motivated, career and customer-oriented Application Systems Analyst to join our team in Clarksburg

Responsibilities include, but are not limited to :

As an Application Systems Analyst, you will perform daily duties of backups, maintenance on applications and OS, patching, tuning and troubleshooting.
Will configure system based on requested changes.
Follow CM process to effectively manage environment changes.
Will be on-call, as required during the year, supporting mission critical supporting systems. (on call rotation).
Will also provide necessary instruction and documentation for change requests, installing operating systems, loading (installing) COTS products, and configuring operating systems and COTS products.
The Application Systems Analyst shall possess knowledge of tracking and analyzing performance and resource utilization of the assigned systems, and shall have experience in recommending changes, upgrades, and enhancements based on the technical analysis.

Basic Qualifications:

Preferred to have Bachelor's Degree in Engineering, Computer Science or related field or equivalent plus 7 to 10 years of work experience.

Security Requirements:

U.S. Citizenship and an active TS clearance required.

Physical Requirements:

Must be able to remain in a stationary position 50% of the time.
The person in this position needs to occasionally move about inside the office to access file cabinets, office machinery, etc.
Constantly operates a computer and other office productivity machinery, such as a calculator, copy machine and computer printer
The person in this position frequently communicates with co-workers, management and customers, which may involve delivering presentations. Must be able to exchange accurate information in these situations

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"ManTech International Corporation
4.2","Clarksburg, WV",-1,5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,33,66,49.5,ManTech International Corporation,WV,52,0,0,0,0,0,0,analyst,na,3641
5,Forecast Analyst,$33K-$66K (Glassdoor est.),"Are you seeking a career in marketing or business? If so, would you like to join in one of the nation’s most successful direct-to-consumer catalog companies?

Starcrest Products of California, Inc. is seeking an analytical professional interested joining our Analytical team as a Sales Analyst. This position is responsible for analyzing sales data to make decisions for future sales projection on thousands of items.
Essential duties and responsibilities: *
Analyze sales history to determine future inventory requirements
Data entry to update weekly sales projection and actual selling rates
Prepare weekly projections for distribution center
prepare spreadsheet reports for presentation of sales analysis
Qualifications to be a Starcrest Forecast Analyst Assist include: *
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed above are representative of the knowledge, skill, and/or ability required. Upon request, reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Qualified candidates will successfully achieve passing scores as stated below on the following screening tests:
Strong analytical and problem solving skills.
Ability to communicate and interpret sales projection to others
Ability to prepare spreadsheets
Must pass a drug screen with negative results
EDUCATION and/or EXPERIENCE*
Degree in Marketing, or two years experience in product performance analysis or forecasting product sales
Competency in business mathematics
A background in retail, merchandising, marketing or distribution is helpful.
Interested in joining the Starcrest family?*
To complete the application, please visit Human Resources at 3660 Brennan Ave, Perris, CA 92571. We are open 7:30am - 4:00pm Monday - Friday.*
Some testing will be involed.*
The pre-employment process includes a drug screen and criminal background check*.
We look forward to reviewing your qualifications!

Job Type: Full-time

Pay: $14.00 per hour

Benefits:
401(k)
Dental Insurance
Health Insurance
Paid Time Off
Schedule:
Monday to Friday
Additional Compensation:
Store Discounts
Work Location:
One location",2.2,"Starcrest Products of California, Inc.
2.2","Perris, CA",-1,501 to 1000 Employees,1971,Company - Private,General Merchandise & Superstores,Retail,Unknown / Non-Applicable,-1,33,66,49.5,"Starcrest Products of California, Inc.",CA,49,0,0,0,0,0,0,analyst,na,2213
6,"Business Analysis, Associate",$33K-$66K (Glassdoor est.),"The MIL Corporation seeks a Business Analysis, Associate to support a Federal Government client at our Arlington, VA location.

Responsibilities

Support the Bureau in each phase of the Payroll process.
Utilize various Department of State’s payroll system to extract personnel data in determining independent cost estimates for planning and budget execution purposes.
Research, compile, and summarize data concerning personnel salaries and benefits, and expenses information needed for the formulation of budget estimates.
Provide support in the development of payroll estimates, to include providing support in preparing reports and forecasts, to submit to Senior Management.
Monitor and track obligations and expenditures for assigned program and support functions throughout the execution phase of the annual budget. Contractor will verify that obligations and expenditures occur on a timely basis in accordance and within the approved budget.
Work closely with payroll units to resolve payroll discrepancies.
Communicate professionally, tactfully, and courteously to customers, co-workers, and management regarding all aspects of the job, including system problems, user procedures, error correction, account problems, training, and overview briefings
Promptly share information that may impact work processes with appropriate personnel either verbally, in writing or by email. Advise supervisor on difficult problems or anomalies that cannot be resolved and on issues which may be escalated or need to be escalated.
Respond promptly and accurately to requests and inquiries from customers, following up on incoming communications. Maintain diplomacy during times of pressure.

Required Qualifications

3 years of Financial Analyst experience
Bachelor’s degree in a business related field
Governmental budget experience
Possess superior organizational, oral and written communication skills.
Significant experience with Microsoft office products (Word, Excel, Access, and Outlook)

Desired Qualifications

Bachelor’s degree in Accounting
Experience with Momentum Financials
Microsoft certifications

Education

BA/BS

Clearance

Top Secret

The MIL Corporation is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity and sexual orientation, national origin, disability status, protected veteran status, or any other characteristic protected by law.

Back Share
Apply Now",4.3,"The MIL Corporation
4.3","Arlington, VA",-1,501 to 1000 Employees,1980,Company - Private,Consulting,Business Services,$100 to $500 million (USD),-1,33,66,49.5,The MIL Corporation,VA,40,1,0,0,0,1,0,na,na,2487
7,IT Business Analyst,$33K-$66K (Glassdoor est.),"IT Business Analyst
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

As an essential business, we supply companies and organizations with the products they need to serve customers and keep operations running. The health and safety of Uline employees continue to be our top priority, and we have implemented numerous changes to our normal operating policies in response to COVID-19.

Uncover your full potential in a collaborative environment where you'll design, develop and deliver custom solutions to big challenges. And you'll be doing it for a proven industry leader that runs one of the largest e-commerce sites in the U.S.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities
Work closely with the business to understand problems and identify the work needed to implement future state solutions.
Document and analyze current state business processes and the underlying systems and applications.
Conduct meetings with stakeholders to gather user requirements.
Write user stories and lead backlog grooming/refinement sessions.
Analyze existing and new software solutions to find the most effective way to meet business needs.
Validate business, functional and technical requirements.
Create product/project backlogs consisting of Epics, Features, User Stories and Tasks.
Produce timely and high-quality work products, including specifications, process flows, mock-ups and wireframes.
Plan and execute System/Functional Testing and User Acceptance Testing.

Minimum Requirements
Bachelor's degree.
4+ years of experience in a Business Analyst or related role.
6+ years of overall IT experience with significant involvement in software development.
Significant experience with both traditional Waterfall SDLC and Agile/Lean methodologies.
Experience with Atlassian/Jira/Confluence and Microsoft TFS a plus.

Benefits
Complete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.
401(k) with 5% employer match.
Paid holidays and generous paid time off.
Bonus programs that include annual performance, sales goals and profit sharing.
Scholarship program for children of employees.

Employee Perks
On-site café with executive chefs and seasonal dinner-to-go options.
First-class fitness center with complimentary personal trainers.
Over four miles of beautifully maintained walking trails.
Numerous employee appreciation events throughout the year.
Professional development classes and monthly in-house speakers.

About Uline

Uline is the leading distributor of shipping, industrial and packaging materials to businesses throughout North America. We're a family-owned company whose incredible service, huge inventory and quality products fuel our ongoing expansion and growth. We offer same-day shipping on over 37,500 products in our 812-page catalog and on our state-of-the-art e-commerce website.

Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.

EEO/AA Employer/Vet/Disabled

#LI-SR1
#CORP",3.3,"Uline, Inc.
3.3","Milwaukee, WI",-1,5001 to 10000 Employees,1980,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,-1,33,66,49.5,"Uline, Inc.",WI,40,0,0,0,0,0,0,business analyst,na,3184
8,Report Analyst,$33K-$66K (Glassdoor est.),"Report Analyst
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

As an essential business, we supply companies and organizations with the products they need to serve customers and keep operations running. The health and safety of Uline employees continue to be our top priority, and we have implemented numerous changes to our normal operating policies in response to COVID-19.

Uline's Corporate Operations team analyzes results and seeks opportunities to improve operations and optimize performance - all to ensure we stay true to our company motto of Speed, Passion and Operational Excellence.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities
Translate data findings from daily, weekly and monthly reports into actionable recommendations.
Analyze company-wide operations, including performance and productivity data as well as error rates and their root causes.
Create and execute MS SQL and / or Access queries for a variety of reports.
Examine relevant information from data sources including AS400, SQL database and relational databases.
Document and communicate analysis insights to management.
Identify trends and areas for improvement.
Measure, track and report results of current initiatives.

Minimum Requirements
Bachelor’s degree.
2 to 3 years experience as a data or report analyst.
Proficient in Microsoft Office (Excel, Word and Access) and SQL.

Benefits
Complete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.
401(k) with 5% employer match.
Paid holidays and generous paid time off.
Bonus programs that include annual performance, sales goals and profit sharing.
Scholarship program for children of employees.

Employee Perks
On-site café with executive chefs and seasonal dinner-to-go options.
First-class fitness center with complimentary personal trainers.
Over four miles of beautifully maintained walking trails.
Numerous employee appreciation events throughout the year.
Professional development classes and monthly in-house speakers.

About Uline

Uline is the leading distributor of shipping, industrial and packaging materials to businesses throughout North America. We're a family-owned company whose incredible service, huge inventory and quality products fuel our ongoing expansion and growth. We offer same-day shipping on over 37,500 products in our 812-page catalog and on our state-of-the-art e-commerce website.

Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.",3.3,"Uline, Inc.
3.3","Pleasant Prairie, WI",-1,5001 to 10000 Employees,1980,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,-1,33,66,49.5,"Uline, Inc.",WI,40,1,1,0,0,1,0,analyst,na,2695
9,Configuration Management Analyst,$33K-$66K (Glassdoor est.),"Configuration Management Analyst: *
• Participates in quality assurance activities supporting the achievement and sustainment of ISO 9001:2015/AS9100 certification. Develops and maintains plan, process, and procedure documentation to include the Configuration Management Plan.

• Conducts internal CM audits and tracks non-compliance to closure.

• Trains and mentor’s personnel on program processes.

• Ensures all existing processes are fully documented, suggesting improvements, updating documentation, and communicating all process changes to relevant stakeholders.

• Prepares and coordinates external audit activities.

• Monitors adherence to change control processes.

• Establishes and maintains the project’s Master Document List.

• Develops technical documentation and reports.

• Meets with customers to gather requirements and get feedback.

• Provides customer support as needed.

Experience level required:

High School, plus 6-9 years experience

Bachelor of Science degree and 1- 3 years experience

Must be able to obtain, and keep a Secret Clearance

Education required:

High School plus 6-9 years experience

BS degree, plus 1-3 years experience

Job Type: Full-time

Experience:
logistics: 1 year (Required)
configuration: 1 year (Required)
supervising: 1 year (Required)
configuration management: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Location:
Madison, AL 35758 (Required)
Additional Compensation:
Bonuses
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Tuition reimbursement
Schedule:
Monday to Friday
Day shift
Overtime
Company's website:
acctool.net
Benefit Conditions:
Waiting period may apply
Work Remotely:
No",3.1,"Accurate Machine and Tool Co., Inc.
3.1","Madison, AL",-1,1 to 50 Employees,-1,Company - Private,Industrial Manufacturing,Manufacturing,Less than $1 million (USD),-1,33,66,49.5,"Accurate Machine and Tool Co., Inc.",AL,-1,0,0,0,0,0,0,analyst,na,1685
